"spacing_label","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_started_long","activation_started_short"
"s0025","raw_both","2782.29","-2013.49","1.788068","237556","-14253.36","-1719.73","2370","2289","127105","72935","54225"
"s0025","david_contra","3306.09","-1652.55","2.116","124518","-7471.08","-909.82","1244","1009","65240","39508","25760"
"s0025","david_stoch_release","626.58","-1856.12","1.22664","5274","-316.44","-237.37","457","17","1469","699","771"
"s005","raw_both","341.66","-2396.06","1.089638","137526","-8251.56","-987.07","1281","1242","94411","54960","39506"
"s005","david_contra","1329.52","-2668.27","1.409112","72454","-4347.24","-550.15","732","519","48911","29847","19092"
"s005","david_stoch_release","285.97","-941.17","1.198868","3139","-188.34","-129.41","239","9","1462","693","770"
"s010","raw_both","-2135.27","-2135.27","0.28329","78235","-4694.1","-539.29","849","827","63089","37853","25291"
"s010","david_contra","403.97","-1074.77","1.272802","42132","-2527.92","-317.04","387","306","33534","20475","13087"
"s010","david_stoch_release","157.72","-478.62","1.206072","2138","-128.28","-65.84","131","5","1452","685","768"
"s020","raw_both","-1168.47","-1168.47","0.264536","45259","-2715.54","-336.67","460","441","40205","24272","15988"
"s020","david_contra","173.5","-342.63","1.372615","24573","-1474.38","-197.04","208","168","21651","13149","8530"
"s020","david_stoch_release","131.54","-210.05","1.366296","1721","-103.26","-35.21","67","2","1431","672","760"
