source,system,strategyVariant,anchorType,weekOpenUtc,rowKind,gridKey,parentTradeId,tradeId,pair,direction,sourceModel,tier,fillSeq,entryUtc,exitUtc,entryPrice,exitPrice,returnRawPct,returnAdrNormalizedPct,adrPct,exitReason,activeFillsAtEntry,capThresholdAtEntry,capViolated
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,grid,2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG,,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|11,AUDCAD,LONG,tiered_4w,2,,2026-05-18T01:00:00.000Z,2026-05-18T13:00:00.000Z,0.98090875,0.98607294,0.39368741,0.6,0.65614568,grid_parent,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|11,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|11,AUDCAD,LONG,tiered_4w,2,11,2026-05-18T01:00:00.000Z,2026-05-18T07:00:00.000Z,0.98090875,0.98219599,0.13122914,0.2,0.65614568,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|21,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|21,AUDCAD,LONG,tiered_4w,2,21,2026-05-18T01:00:00.000Z,2026-05-18T09:00:00.000Z,0.98219937,0.98348831,0.13122914,0.2,0.65614568,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|35,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|2|AUDCAD|LONG|35,AUDCAD,LONG,tiered_4w,2,35,2026-05-18T12:00:00.000Z,2026-05-18T13:00:00.000Z,0.98478063,0.98607294,0.13122914,0.2,0.65614568,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,grid,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG,,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|4,AUDCHF,LONG,tiered_4w,1,,2026-05-18T01:00:00.000Z,2026-05-18T12:00:00.000Z,0.56063624,0.56243936,0.3207029,0.6,0.53450483,grid_parent,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|4,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|4,AUDCHF,LONG,tiered_4w,1,4,2026-05-18T01:00:00.000Z,2026-05-18T02:00:00.000Z,0.56063624,0.56123556,0.10690097,0.2,0.53450483,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|15,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|15,AUDCHF,LONG,tiered_4w,1,15,2026-05-18T01:00:00.000Z,2026-05-18T08:00:00.000Z,0.56123749,0.56183746,0.10690097,0.2,0.53450483,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|29,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDCHF|LONG|29,AUDCHF,LONG,tiered_4w,1,29,2026-05-18T01:00:00.000Z,2026-05-18T12:00:00.000Z,0.56183875,0.56243936,0.10690097,0.2,0.53450483,grid_tp,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,grid,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDJPY|LONG,,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDJPY|LONG|8,AUDJPY,LONG,tiered_4w,1,,2026-05-18T01:00:00.000Z,2026-05-20T15:00:00.000Z,113.29699176,113.64533227,1.33017285,1.48737426,0.89430944,grid_parent,,,false
app,tiered,tiered_4w-adr_grid-none,execution,2026-05-17T23:00:00.000Z,fill,2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDJPY|LONG,runtime-grid|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDJPY|LONG|8,runtime-fill|tiered_4w-adr_grid-none|2026-05-17T23:00:00.000Z|2026-05-17T23:00:00.000Z|tiered|tiered_4w|1|AUDJPY|LONG|8,AUDJPY,LONG,tiered_4w,1,8,2026-05-18T01:00:00.000Z,2026-05-18T05:00:00.000Z,113.29699176,113.4996369,0.17886189,0.2,0.89430944,grid_tp,,,false
