rule_id,rule_family,institutional_candidate_rank,institutional_label,institutional_reason,reference_only,equity_adr,max_drawdown_adr,weekly_mtm_profit_factor,adr_calmar,weekly_mtm_sortino_adr_normalized,final_open_unrealized_adr,right_tail_give_up_vs_t150_adr,execution_burden_fills_per_week,content_hash
WEEKLY_FORCED_CLOSE,control,,reference only,"control row, not an exit candidate",false,638.115405,-116.795157,1.414187,0.761674,1.809065,0,,28,B8A19ED189E328FDE629F1FD78B6AACAE78BCE618BD1459054718EFA3F63384A
CARRY_UNTIL_FLIP,control,,reference only,"control row, not an exit candidate",false,597.519846,-167.030217,1.349786,0.498714,1.472414,-97.1683,,2.418231,D552731F149380445EF2816A6D808703D500B31D9F5EE063BFA0DEA40F8DE745
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,conservative reference,adverse-only discovery baseline retains harvest but carries large floating tail,false,9901.156008,-5462.545131,1.254319,0.252688,0.707576,-4480.156606,1764.773526,334.286863,20074963B1803D1E004DB833049702520A777F498C8DBAC958BFC183140FF080
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,aggressive reference,no-limit two-sided reference has right-tail upside but excessive tail/open-loss behavior,false,12295.79489,-7565.450203,1.282295,0.226577,0.761988,-5716.628824,0,347.420912,719DF0F2E7A3142189E0D396E4BF226DE014733AD41017D31DF9AB2332E359BC
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,3,alternate candidate,lower equity than T100/L3 but cleaner drawdown and flip-loss profile,false,11713.727501,-1811.737115,1.51746,0.901352,1.273224,-2308.220032,6242.315851,288.823056,C1F56A9BBE5E7D86AE84D90EEED60C9551C3E9BF0A4546AFAF42609297885271
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,1,primary candidate,best non-reference MTM equity with controlled drawdown versus T150 and no runner harvest collapse,false,13772.999764,-1989.442654,1.561828,0.965143,1.362816,-2351.084511,4767.124605,284.396783,BCA0E96F874FB4658285DFC7E01FA1020EA07DCD683D14FC88727CC527458AE8
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,2,too much tail,"higher closed harvest than T100/L3 but worse drawdown, open loss, and rolling loss behavior",false,13018.163434,-4074.085132,1.440649,0.445466,1.100962,-4467.300235,3649.885428,296.123324,CBC907C2C9ED71D496A8858378028F9AF3448EBFDF29D8E71096731B78646475
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,6,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,false,2254.07738,-646.124869,1.553754,0.486348,1.094198,-103.027711,11578.48275,39.409517,A5BDFF103D6CD020A5E750AD8C2AF4EFF01EA5ADAC4B5E38619B9D9667C36D35
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,4,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,false,2923.668101,-602.738028,1.569189,0.676229,1.443515,-205.960941,10843.887499,39.336461,63A813A0B7A12373FC8F158C248E4AA09972912F1F64BF5693839D927B9B424C
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,7,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,false,2057.524025,-773.468845,1.35852,0.370849,0.733317,-123.844837,11419.233294,45.180965,128FBDD2B5ED5CEB50FAB21FA7740F3B044740D3C6A702BED99FB7CAD13BBDEB
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,5,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,false,2651.238026,-890.894792,1.392916,0.414875,0.986107,-245.538946,10700.669226,45.107239,4965F14DC7AFF6ADC746E6791BD8B118EB466F2A65EBAD3F65AF11DD6E3E1FBA
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,9,reject,runner row fails MTM equity and does not earn candidate status,false,-281.902214,-4028.764559,0.976202,-0.009755,-0.042299,-3216.328756,11320.357785,54.678284,4261C2303BF69A8F64BAC652208E3ABF83ECE8D215011457C99DC9004F62F243
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,8,reject,runner row fails MTM equity and does not earn candidate status,false,409.620619,-4211.915285,1.031823,0.013558,0.062301,-3314.542721,10458.068405,54.597855,B8BFE5B3C2234266932031BA4EC78C61351A242A5FF03864F5AD2F2D4795EF47
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK_ACCOUNT_EMERGENCY_SL_3ADR,account_emergency_sl_reference,,reference only,emergency-SL row is diagnostic only and clips harvest,true,321.064729,-261.64547,1.271227,0.17107,3.596242,0,12579.068445,109.128686,7F33508263E848BE468797B0071369AFCD9A1A78388BDC834C6E2077AA8A3FE7
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK_ACCOUNT_EMERGENCY_SL_5ADR,account_emergency_sl_reference,,reference only,emergency-SL row is diagnostic only and clips harvest,true,-2.262084,-416.424575,0.99877,-0.000757,-0.022079,0,12613.845682,133.678284,1EF14E13AD79CDC787528C7A811190A0D9514405C5E00DD4E9CE855F0BDB43DC
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_050_ACCOUNT_EMERGENCY_SL_3ADR,account_emergency_sl_reference,,reference only,emergency-SL row is diagnostic only and clips harvest,true,296.337801,-198.162535,1.195601,0.208478,0.847914,0,12616.627361,106.619303,251F7154F338CC81415BD4ED8D88E7BC429140DA5A38463DCE8A2756FB717776
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_050_ACCOUNT_EMERGENCY_SL_5ADR,account_emergency_sl_reference,,reference only,emergency-SL row is diagnostic only and clips harvest,true,81.829163,-439.603461,1.040528,0.02595,0.279374,0,12612.906322,129.86059,F4D1CA52A25464C432BFC6D1CEBCC13E14C68B6C6E7C99F5EA95C8069C9F0635
