rule_id,rule_family,base_rule_id,flip_policy,audnzd_closed_adr,audnzd_mtm_adr,audnzd_final_open_unrealized_adr,audnzd_worst_open_unrealized_adr,audnzd_flip_loss_adr,worst_reset_ordinal_bucket,worst_reset_ordinal_damage_adr,worst_age_bucket,worst_age_bucket_damage_adr,sentinel_read,content_hash
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,-15.277522,-51.115994,-35.838472,-38.224421,-44.058449,initial_cycle,-1080.402519,13_plus_weeks,-531.356787,reporting_only_no_audnzd_exclusion,2F0664649BA4D4EF071707C6C22AB865B555508882F50E01B82DA77D4347F7FF
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,1918.69275,1907.327849,-11.364901,-95.922348,0,initial_cycle,-21017.297138,same_week,-53603.620104,reporting_only_no_audnzd_exclusion,7767810B9C61F449503F950897C7E1586C4E60D71C2294FA8D24106C856F574D
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,245.378729,-2853.66825,-3099.046979,-3564.956706,-438.530681,reset_2,-4597.411663,13_plus_weeks,-7584.422412,reporting_only_no_audnzd_exclusion,AFA1A35C74905F1C82F0BCCE0B88B7A4BF6885B55C77B118E82A9A2D4EC73A73
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,237.360026,-2861.686953,-3099.046979,-3564.956706,-7.588738,reset_2,-3493.672116,13_plus_weeks,-4180.217386,reporting_only_no_audnzd_exclusion,C8667399F1ADD97FA4C52701FE12F69292C9BE59393AEC805C6617CDBC3DA36B
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,335.615204,-2763.431775,-3099.046979,-3564.956706,0,reset_2,-3417.125332,13_plus_weeks,-4180.217386,reporting_only_no_audnzd_exclusion,77E82B1C51280EC520BF4F309A10281FF5F52EF770C9C8DE12F6E254793387B0
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,245.577602,-2853.469377,-3099.046979,-3564.956706,0,reset_2,-3417.125332,13_plus_weeks,-4180.217386,reporting_only_no_audnzd_exclusion,4E23074761A072936BFAA3D1A1CA86CBBA40568793D8FFDB465E040E65EB23C6
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,692.124389,-3694.920084,-4387.044473,-4931.314244,0,reset_2,-4951.767618,13_plus_weeks,-13225.981918,reporting_only_no_audnzd_exclusion,3B3B029CDE4C0E453C33D72C1321BDA4FE5A02F4466D2D980EE3012B7F4EDCB3
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,65.077729,-81.555458,-146.633187,-301.053825,-405.420945,initial_cycle,-2350.970778,same_week,-1073.623213,reporting_only_no_audnzd_exclusion,5EB10B8BBC43488193B2989D6C3BADF04E83CB1B4878D93FDF149CB48CE6B2C8
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,44.446208,-102.186979,-146.633187,-301.053825,0,reset_1,-298.527506,13_plus_weeks,-146.633187,reporting_only_no_audnzd_exclusion,C3ADBA4AE5B76E8D4F224D626F83508AAF12BAF9B5F0878801411228BCDCB06F
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,117.132338,-29.500849,-146.633187,-301.053825,0,reset_1,-265.767147,13_plus_weeks,-146.633187,reporting_only_no_audnzd_exclusion,AA1E673B96037469C5429AFD93E133E7777F75F643833A74E75B3EFE3C80DDD0
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,44.446208,-102.186979,-146.633187,-301.053825,0,reset_1,-265.767147,13_plus_weeks,-146.633187,reporting_only_no_audnzd_exclusion,18E3D3A91E715B6737E5DF482A26890E9E85F593D55D9D35CAC0F189759BF8CE
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,471.270567,-1004.457958,-1475.728525,-1626.26378,0,reset_1,-2509.928838,13_plus_weeks,-3924.537842,reporting_only_no_audnzd_exclusion,1D2D25725B5AA68008A57AE0A04CF57CC29247D46C205322AB3A54DCBA387F49
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,144.739062,-1928.811113,-2073.550175,-2433.839303,-424.521597,reset_2,-3639.47342,13_plus_weeks,-2620.753118,reporting_only_no_audnzd_exclusion,422E2CCABBF1010132DB1BE5AD0A98C766B8E2D07C760B552F9A1AF7F11B36ED
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,148.748999,-1924.801176,-2073.550175,-2433.839303,-0.720115,reset_2,-2140.991002,13_plus_weeks,-2073.550175,reporting_only_no_audnzd_exclusion,0678CF9E8C7D968BC0B4146B6E530A29346E5AC19A0C2DEC8076C18ED2CBB686
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,222.15625,-1851.393925,-2073.550175,-2433.839303,0,reset_2,-2092.632803,13_plus_weeks,-2073.550175,reporting_only_no_audnzd_exclusion,ADB749FA11A3A194023A0D66C081B6E08A7F2759E5CC58C15D02710B9A5E3708
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,149.47012,-1924.080055,-2073.550175,-2433.839303,0,reset_2,-2092.632803,13_plus_weeks,-2073.550175,reporting_only_no_audnzd_exclusion,FC299991175A43B47D4DB042761FDBDD1FE17C3D4BFC75CF17E0AAD07CAA4A33
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,576.294479,-2826.351034,-3402.645513,-3843.679466,0,reset_2,-3014.270241,13_plus_weeks,-7109.925236,reporting_only_no_audnzd_exclusion,B01A0E9805470B09B870503FB39FB53A691883CD409FE6ACAE067E37E46C29BD
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,200.281375,-1872.787925,-2073.0693,-2433.415597,-430.578887,reset_1,-4591.5813,13_plus_weeks,-2614.22314,reporting_only_no_audnzd_exclusion,65B8815F3073C54CA5A153161AAACEF942BF64E3E9C3E7D8282AAF0576457D30
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,190.257344,-1882.811956,-2073.0693,-2433.415597,-4.856028,reset_1,-2215.017769,13_plus_weeks,-2073.0693,reporting_only_no_audnzd_exclusion,48A6C852A5A2BFCF625B3C267116C5A092B25A81622F92E5C7B3C028540601B8
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,284.882749,-1788.186551,-2073.0693,-2433.415597,0,reset_1,-2171.096516,13_plus_weeks,-2073.0693,reporting_only_no_audnzd_exclusion,1EC87405BD8CADE639652DF15410DE70D137CED6447FFC86D46D04CD932C30C6
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,195.527907,-1877.541393,-2073.0693,-2433.415597,0,reset_1,-2171.096516,13_plus_weeks,-2073.0693,reporting_only_no_audnzd_exclusion,C639D8E61E6D8BDB1B8E05B6D90E2BDE167BB7D4ACD229C462975F032263C191
