metric,definition,content_hash
continuous_carried_position_truth_replay,keeps side grid state open across warehouse week boundaries until target reset or terminal liquidation,16EA7DFBC2337177695F0655A00E8BBCE2138BAABB76D0DD24321F721F8C0C1E
bar_path_mode,"intrabar path used for each warehouse M1 bar; close mode uses close-only marks, OHLC modes synthesize four tester-like marks per bar",691C9E0D45BBC91488B89BAB75140FE1F298CFC9F743DF47A2148DB63BA46EFE
signal_clock,"clock used to update David MA/RSI/Stoch signal state; m1 updates on every M1 close, adr_event updates only after a configured ADR movement brick completes",E9D68C9263FD7EE4BB0A5AC25810E73EAF73E2AA7B4C8B7262878D94896088E4
signal_adr_brick,ADR movement required to complete one synthetic signal bar when signal_clock is adr_event,CFB40CEFF037A5E0CFF9803FFF7E26832A102FE2475DA827370967CF4F2EFD52
closed_price_pnl_usd,"target-reset price PnL before swap and commission, with quote-currency PnL converted to USD at the close timestamp/tick when a USD conversion leg is selected",4AE0AD4F8AE10BC27022933903BDEEC605FB564497E4A4F1600191177950808C
total_commission_usd,entry commission charged at MT5-observed 0.06 USD per 0.01 lot entry; exits have zero commission in the reference report,E1A2EAC2AC167CF0A73B8E98D0BE62B3CE9796B7CED79D28997FA2AB214FA949
total_swap_usd,position-day carry fee accrued per fill by side using MT5-derived EURUSD average swap rates,E517BC4E5F48E44D54EDD90E8D479DA04C75B77DA2DDAA87A13FA7BD9B4B3A04
end_liquidation_price_pnl_usd,price PnL from all positions still open at the final warehouse mark,33E97BBB72805A1BD4A6FA0A0BFA6A4DF84B2F29CCDF3EAD05142B4B8D3C0C63
terminal_inventory_rows,"one row per side cycle that survived until terminal liquidation; used to attribute unresolved inventory by pair, side, age, MA distance, fill depth, and liquidation PnL",443A7EDADAE119647FE011CD559227AC8F5D074EEC98F345579A0C346776F150
side_exit_distance_to_ma_adr,side-specific ADR distance from terminal mark back to the David MA exit line; positive means the cycle still needs that many ADR to return to MA,132BE3D00A35485837AE160CCF2BE2B26778E887377D04870504EDB886377CE1
max_open_positions,maximum simultaneous fill count across carried side grids,A94FEBA70FC36C3C649A27D1C61561B6042252954A69C1FCD3DECD2A7398A110
activation_rule_id,one-sided start rule used when a side cycle is missing; existing cycles are not flattened by later signal changes,EF696CA2EAE54048F61A32FFCA5D466651CE8D5FAC6649C2740657822517AAFC
min_ma_expansion_adr,"minimum side-specific distance from current David MA required before a missing side can start; long requires price below MA, short requires price above MA",EB16F1581DCF78A1A2CD1F8C027D11A2F967F2FDC0904A39024A33FC8D308A2A
grid_add_mode,adverse_and_favorable keeps both recovery and favorable expansion adds; adverse_only adds only when price moves against the side from its cycle anchor,93CE73D3D40073849ADF687C2C2FAE83C228B9D0792EDD9A522BBAA9EF57BB75
activation_started_long/short,number of initial side cycles started after the activation gate allowed that side,03A65190EA3B13A3A2C9C62B315E0F711BEE68FBA3BE2F3650C156B79E885876
activation_blocked_long/short,number of missing-side start checks rejected by the activation gate,240738E5EACC0DA05E2B91A1DBF18B2A7BAF8ED21CDC25DDECABC74C30D5B2B8
activation_blocked_expansion,number of missing-side start checks where the signal allowed the side but price was not far enough from the David MA,99F1DDFC200A6A576681732B86AC170BB21D094C1BA606F3D7ACA069F62766AD
