variant_id,cost_fraction,drawdown_start_utc,drawdown_end_utc,drawdown_adr,equity_at_end_adr,content_hash
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,-1269.613752,-275.484212,4B4CEC0AF2566104309FE1CA677B13C1BFAD51D9CF6FFE6F23ED957370113478
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2026-01-19T00:00:00.000Z,-1220.176294,-226.046754,D61AC8E71CDED8E0D67300D011309D744A00BFA3C5219F95727FC3BF80315676
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2026-02-23T00:00:00.000Z,-1204.407187,-210.277647,67BD78871153E230E9D471ED35918349C223AAC304DBD54981AB2E29DE15F1E2
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2026-02-16T00:00:00.000Z,-1142.983285,-148.853745,6AADD39644C08BE3A8EC0DE46CB79E40C3735EF80ADD6ED1456CC83E694C1E8E
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2025-12-22T00:00:00.000Z,-1142.848119,-148.718579,C690AC11F57999B6E72C0A3E2B52D085612B90481ACCC7518C82A6B15A5A7B55
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2025-12-08T00:00:00.000Z,-1110.511823,-116.382283,124AE435D7183EB384761F3B87C231FF8914F629CD447C237B35E46A611161AF
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2026-01-26T00:00:00.000Z,-1098.499236,-104.369696,E88C653F5F9D4A0CA1FE71B4994D1D0CC9EAE28C737E1740E0A4AE9FDBC09782
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2025-12-15T00:00:00.000Z,-1037.246582,-43.117042,CB211BAB4FBED61D001E389204720D72F1A3D9BCD8C5CB585FCBA7421D18A0A8
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2025-03-16T23:00:00.000Z,2026-04-26T23:00:00.000Z,-983.254533,10.875007,E53213ABC8688A2F21C1F99A99EA361A21D393F1AE82DA9FFD8343A239882BBE
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,2020-06-14T23:00:00.000Z,2021-02-22T00:00:00.000Z,-937.10641,-804.766055,9E3DA962C7929471C037895F0787DF081BC070CEE25B23FB9BD7D2C39FA5E156
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,-1271.446252,-289.710462,BED59A275A588E21ED3DBF1A9B5ACBF19F7A9DCF5088C83536769F74058286EF
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2026-01-19T00:00:00.000Z,-1222.191294,-240.455504,CC543C2EE407DB1FEB10D78CD3585EAE7A7BA60F3586678DA82325C4E0B9A88A
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2026-02-23T00:00:00.000Z,-1206.635937,-224.900147,968D29459FBE9239788C05E3D4A76169F38406E9DDA6AC75DB0C74DEF3ABEF2B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2026-02-16T00:00:00.000Z,-1145.163285,-163.427495,B530AF1A5925820B97D5B187A251AC84D56B8AB3A7C886D2E5479BD56706F46E
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2025-12-22T00:00:00.000Z,-1144.590619,-162.854829,5D6C39E35E1A70885B95301D7C3DA8F8B34E9DFDDCC98330AB71DACB9B42504B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2025-12-08T00:00:00.000Z,-1112.153073,-130.417283,59A194C813E7001265F79C8B0EDBEAD597B6EC5BFC62E3942496EF460BACE661
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2026-01-26T00:00:00.000Z,-1100.646736,-118.910946,2C0272C8DDF5E93A8F5013EF6F702DC0176DED197A38E9489F400248650AF577
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2025-12-15T00:00:00.000Z,-1038.961582,-57.225792,821C1708DF47D6F1C9DF72592140B73C908F99E3DDEBE0716021CB8C2820C08E
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2025-03-16T23:00:00.000Z,2026-04-26T23:00:00.000Z,-985.658283,-3.922493,3C4B6EFDBFEB84C770107128C5DBA22226F0BDE66DA860A83857FAC331C4FD92
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.0025,2020-06-14T23:00:00.000Z,2021-02-22T00:00:00.000Z,-938.74391,-808.193555,C61DB2D14C3B79807529FA105AF02C007A211FB3DD012D39258F02C40F73825B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.005,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,-1273.278752,-303.936712,7F6D5672C6E7E98FC3976A6EBCDE70C48B639B6BF7B33D82B73CFADC9DB15D0B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.005,2025-03-16T23:00:00.000Z,2026-01-19T00:00:00.000Z,-1224.206294,-254.864254,5ABE4470AD1E20707FFE703F891E9C2D7A08D3E808905B87D1CF1BAF8C68DF59
