row_key,week_open_utc,pair,candidate_b_side,session_id,session_label,range_start_utc,range_end_utc,entry_start_utc,entry_end_utc,session_range_adr,entry_path_efficiency,entry_range_adr,range_ratio_pair,efficiency_bucket,range_floor_adr,range_condition_pass,range_expansion_bucket,geometry_regime,geometry_harvestable_candidate,adaptive_spacing_formula_id,adaptive_spacing_raw_adr,adaptive_spacing_adr,adaptive_spacing_range_floor_adr,adaptive_range_condition_pass,adaptive_signal_adr_brick,adaptive_spacing_tradability_pass,trigger_candidates,long_trigger_candidates,short_trigger_candidates,content_hash
2022-01-10T00:00:00.000Z|AUDCAD|ny|2022-01-10,2022-01-10T00:00:00.000Z,AUDCAD,LONG,ny|2022-01-10,NY,2022-01-10T00:00:00.000Z,2022-01-10T13:00:00.000Z,2022-01-10T13:00:00.000Z,2022-01-10T21:00:00.000Z,0.487001,0.027721,0.514632,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.162334,0.2,0.6,false,0.05,,0,0,0,65ACEF31B912F6791B41E99ACA3F6A0ADC42D107CCD7E1A5B4C7F5AD04B47E74
2022-01-10T00:00:00.000Z|AUDCAD|asia_london|2022-01-11,2022-01-10T00:00:00.000Z,AUDCAD,LONG,asia_london|2022-01-11,ASIA_LONDON,2022-01-10T13:00:00.000Z,2022-01-10T21:00:00.000Z,2022-01-11T00:00:00.000Z,2022-01-11T13:00:00.000Z,0.514632,0.053605,0.64588,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.171544,0.2,0.6,false,0.05,,0,0,0,431274913FF426304918E49EB07C7B7248863A959B0B28523097CBBC3EDE83F9
2022-01-10T00:00:00.000Z|AUDCAD|ny|2022-01-11,2022-01-10T00:00:00.000Z,AUDCAD,LONG,ny|2022-01-11,NY,2022-01-11T00:00:00.000Z,2022-01-11T13:00:00.000Z,2022-01-11T13:00:00.000Z,2022-01-11T21:00:00.000Z,0.64588,0.008019,0.310851,1,low,0.6,true,normal,harvestable_chop_candidate,true,gate90d_range_box_slots_cost_clamped_v0,0.215293,0.215293,0.64588,true,0.053823,,5,5,0,4215C23A56609C1D9A3A789C2F0BA5B91F828A2840D93E5418D35896EF65E069
2022-01-10T00:00:00.000Z|AUDCAD|asia_london|2022-01-12,2022-01-10T00:00:00.000Z,AUDCAD,LONG,asia_london|2022-01-12,ASIA_LONDON,2022-01-11T13:00:00.000Z,2022-01-11T21:00:00.000Z,2022-01-12T00:00:00.000Z,2022-01-12T13:00:00.000Z,0.310851,0.037868,0.569895,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.103617,0.2,0.6,false,0.05,,2,2,0,C1CFC65FEE4DF084CA5B525DAF3FABA302672D437F10A66E7CFBE904B66A0FF2
2022-01-10T00:00:00.000Z|AUDCAD|ny|2022-01-12,2022-01-10T00:00:00.000Z,AUDCAD,LONG,ny|2022-01-12,NY,2022-01-12T00:00:00.000Z,2022-01-12T13:00:00.000Z,2022-01-12T13:00:00.000Z,2022-01-12T21:00:00.000Z,0.569895,0.13546,1.295216,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.189965,0.2,0.6,false,0.05,,0,0,0,71070485E04B18F0FA8A6E8D70BA0C8D91F20DA2A69A517D38F86670D690F50C
2022-01-10T00:00:00.000Z|AUDCAD|asia_london|2022-01-13,2022-01-10T00:00:00.000Z,AUDCAD,LONG,asia_london|2022-01-13,ASIA_LONDON,2022-01-12T13:00:00.000Z,2022-01-12T21:00:00.000Z,2022-01-13T00:00:00.000Z,2022-01-13T13:00:00.000Z,1.295216,0.001874,0.512905,1,low,0.6,true,normal,harvestable_chop_candidate,true,gate90d_range_box_slots_cost_clamped_v0,0.431739,0.3,0.9,true,0.075,,0,0,0,CDF8E65A353C4A5DA6CD6557E2BD51FAA6092890D9228BA5400C415004D9CC7C
2022-01-10T00:00:00.000Z|AUDCAD|ny|2022-01-13,2022-01-10T00:00:00.000Z,AUDCAD,LONG,ny|2022-01-13,NY,2022-01-13T00:00:00.000Z,2022-01-13T13:00:00.000Z,2022-01-13T13:00:00.000Z,2022-01-13T21:00:00.000Z,0.512905,0.001752,0.324667,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.170968,0.2,0.6,false,0.05,,0,0,0,8A1C222FC4D829369F7F6407D9F156E2BEA07FBE7D79FD7082D8E3B13C5FB092
2022-01-10T00:00:00.000Z|AUDCAD|asia_london|2022-01-14,2022-01-10T00:00:00.000Z,AUDCAD,LONG,asia_london|2022-01-14,ASIA_LONDON,2022-01-13T13:00:00.000Z,2022-01-13T21:00:00.000Z,2022-01-14T00:00:00.000Z,2022-01-14T13:00:00.000Z,0.324667,0.066541,0.73741,1,low,0.6,false,normal,dead_chop_cost_churn,false,gate90d_range_box_slots_cost_clamped_v0,0.108222,0.2,0.6,false,0.05,,0,0,0,94BDB80DD9AD73357D1020C922403B7F08B475088AF809F883EF0646879D54FF
2022-01-10T00:00:00.000Z|AUDCAD|ny|2022-01-14,2022-01-10T00:00:00.000Z,AUDCAD,LONG,ny|2022-01-14,NY,2022-01-14T00:00:00.000Z,2022-01-14T13:00:00.000Z,2022-01-14T13:00:00.000Z,2022-01-14T21:00:00.000Z,0.73741,0.000897,0.348845,1,low,0.6,true,normal,harvestable_chop_candidate,true,gate90d_range_box_slots_cost_clamped_v0,0.245803,0.245803,0.73741,true,0.061451,,1,1,0,284A054DD021E33306B17AAAE310D38F0851DF96BC2359907D43961A34D29F47
2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-10,2022-01-10T00:00:00.000Z,AUDCHF,LONG,ny|2022-01-10,NY,2022-01-10T00:00:00.000Z,2022-01-10T13:00:00.000Z,2022-01-10T13:00:00.000Z,2022-01-10T21:00:00.000Z,0.888075,0.066729,0.965811,1,low,0.6,true,normal,harvestable_chop_candidate,true,gate90d_range_box_slots_cost_clamped_v0,0.296025,0.296025,0.888075,true,0.074006,,1,0,1,FDD1C8A350282A04FF91A3D89D90E5C1B196FE0CA7B76FC69E21AD92794C1C30
