variant_id,week_open_utc,closed_week_adr,open_unrealized_adr,equity_delta_adr,equity_snapshot_adr,reset_count_week,pair_net_flatten_count_week,fill_count_week,content_hash
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-04-14T23:00:00.000Z,69.04958,-81.014904,-11.965324,-11.965324,109,34,475,851D707E0F9EA664CADF55C7EED30DB9DA5B3EAA74105DAFBEBCBDCA86369C8F
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-04-21T23:00:00.000Z,55.910206,-70.094237,66.830873,54.865549,110,34,478,717FD405E2378D94E22FC042AA35794B6C8433EC8C2ED87DFE571323B837B8E7
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-04-28T23:00:00.000Z,57.848537,-104.653179,23.289595,78.155144,113,37,456,B6FD614C7A7303B96DD1826ED817C09419B0BF82B7A3D95004FD2DEB1566FD4E
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-05-05T23:00:00.000Z,55.619285,-59.769953,100.502511,178.657655,108,35,459,6041569C106DE20DEC206764072C663068ABCC853C82C2442C9C37D7CEFCFB3D
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-05-12T23:00:00.000Z,62.384218,-158.774958,-36.620787,142.036868,107,28,424,8141F0209091BE64F6F2593AB2859BC3306715CCF4C2C6A894BC3A68D448B122
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-05-19T23:00:00.000Z,47.927076,-12.372166,194.329868,336.366736,116,41,398,8237CB3E7399DDBEC82029D90E4D793F2465BA0FD1E286A83E0B6B2ABED28BDC
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-05-26T23:00:00.000Z,55.088801,-35.092051,32.368916,368.735652,115,41,394,4F3A11DCFD035C1F3316089AF02F35BB49A3439782FAEB7E1DB9C970F9318C9F
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-06-02T23:00:00.000Z,48.760345,-59.307957,24.544439,393.280091,114,38,416,E507F8E4FFC21CF545842197D2FC84DA9286445CCCA2518D42F3F4F4FB13DB6D
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-06-09T23:00:00.000Z,61.634033,-141.49371,-20.55172,372.728371,113,30,465,3DC3EEDF5464FE685100324FCC82F7C151010CD7F32D43508DA78EA1FB38870C
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-06-16T23:00:00.000Z,45.278096,-29.8397,156.932106,529.660477,115,38,432,9FBD21EFC30DB01488AE46CB2BE08BA82BF8BA05E4BFBEC067A95DE3C48EA236
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-06-23T23:00:00.000Z,52.10469,-108.863791,-26.919401,502.741076,103,31,411,B32699E2C3312548AF563A2EB9536150F5663046E32F3B4F4367468B1A4FCD35
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-06-30T23:00:00.000Z,48.783712,-42.066019,115.581484,618.32256,105,33,405,54EDBB723451A5A9D2E2AF70A9F8EBB003029C9EE9BD7D3C791368DAFA7745B2
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-07-07T23:00:00.000Z,44.092349,-1.810007,84.348361,702.670921,114,40,383,65FE6A9F12FADABBE35C9C3261FC1087B4D0D7511940F9ED9F4E585942A00633
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-07-14T23:00:00.000Z,47.387279,-46.23417,2.963116,705.634037,108,34,422,BC8251C0EBC27400AF89EBAEA6D9BF7D734661CD08D7C28350A3903751774ADF
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-07-21T23:00:00.000Z,51.917037,-93.70608,4.445127,710.079164,109,32,409,3D97E74DC0454EB78587A0EB591CDDA9D40FBE833E528537D8141B4AD72C4B3B
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-07-28T23:00:00.000Z,48.492664,-222.164295,-79.965551,630.113613,111,32,492,EFD4BE3593A76C6955589703F1F25B7319945C10D683A9E3677AEC72C253DEF4
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-08-04T23:00:00.000Z,53.680892,0,275.845187,905.9588,118,41,425,C0C47FD02BDE46A1D159FE21DF55BC27F87A148AD97B0C1833EEA049746FBA75
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-08-11T23:00:00.000Z,44.988114,-5.037083,39.951031,945.909831,110,39,384,8D2B7029F8B454F2533CB6B4F1DBEB919566432246CE3F6FBEC2C80AD4F3BC37
HEDGED_GRID_T100_S020_L3_PAIR_NET_TP_1ADR,2019-08-18T23:00:00.000Z,47.265861,-18.811994,33.49095,979.400781,94,33,332,978FAD54C837D77E8B7ED24D16499042DFCCD44BC690A1EBF31804663D5C6109
