variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|AUDCHF|LONG|1,AUDCHF,LONG,target,2022-01-11T14:56:00.000Z,2022-01-11T15:01:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.278881,1.284017,-0.06,-0.000318,1.223699,0,0.278881,0,1,0.003472,0.212007,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-11|LONG|2022-01-11T14:51:00.000Z|2022-01-11T14:52:00.000Z,333B8F169BA3D7CEB25F6D09412552A5B2CE6CD0FF1B4A420929B01DEE5362C0
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|AUDCHF|LONG|2,AUDCHF,LONG,target,2022-01-13T15:03:00.000Z,2022-01-13T16:55:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.133589,0.62618,-0.12,-0.0128,0.49338,-0.362652,0.152316,1,2,0.077778,0.223,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-13|LONG|2022-01-13T15:02:00.000Z|2022-01-13T15:03:00.000Z,F00B701DDBCEECDAE27A90AFE316C95D238F41B109B4D0689D8AA3036BA9A301
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|AUDCHF|LONG|3,AUDCHF,LONG,target,2022-01-13T17:16:00.000Z,2022-01-13T18:30:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.152369,0.713787,-0.06,-0.004712,0.649075,-0.093765,0.152369,2,3,0.051389,0.223,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-13|LONG|2022-01-13T15:02:00.000Z|2022-01-13T15:03:00.000Z,0AEDACC8E3318D22DEEB9E3643D860E49CA5A552F0E6FE2F9869D1C17861F58C
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|AUDUSD|LONG|1,AUDUSD,LONG,target,2022-01-14T13:41:00.000Z,2022-01-14T14:58:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.141185,0.809998,-0.06,-0.004903,0.745094,-0.191734,0.141185,0,1,0.053472,0.273538,2022-01-10T00:00:00.000Z|AUDUSD|ny|2022-01-14|LONG|2022-01-14T13:40:00.000Z|2022-01-14T13:41:00.000Z,8F20BB54C5F32A4E71194A930CD7FC8CFD03CA7B8FDCE54443B5BC49281995FB
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|AUDUSD|LONG|2,AUDUSD,LONG,target,2022-01-14T15:04:00.000Z,2022-01-14T15:11:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.209402,1.200004,-0.06,-0.000446,1.139558,0,0.209402,1,2,0.004861,0.273538,2022-01-10T00:00:00.000Z|AUDUSD|ny|2022-01-14|LONG|2022-01-14T13:40:00.000Z|2022-01-14T13:41:00.000Z,D8A0C3027A7A6B629D3090B6F35BA3783324FECC38C026BCF225293C6D44ACC7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|CADCHF|SHORT|1,CADCHF,SHORT,target,2022-01-11T10:11:00.000Z,2022-01-11T13:17:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.132077,0.64785,-0.06,0.001292,0.589142,-0.041824,0.173901,0,1,0.129167,0.219792,2022-01-10T00:00:00.000Z|CADCHF|asia_london|2022-01-11|SHORT|2022-01-11T09:13:00.000Z|2022-01-11T09:14:00.000Z,744F7D4F54B94C0E1D555B336A1C555E0728231649D515396DF295470CDAABE4
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|CADJPY|LONG|1,CADJPY,LONG,target,2022-01-14T14:53:00.000Z,2022-01-14T14:59:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.205507,1.407432,-0.06,-0.000382,1.34705,0,0.205507,0,1,0.004167,0.220876,2022-01-10T00:00:00.000Z|CADJPY|ny|2022-01-14|LONG|2022-01-14T14:36:00.000Z|2022-01-14T14:37:00.000Z,17C0A998A6A66374B60AB39C68FB5E5F205EF56B3BB0F0098947A5EED2A9D750
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|EURAUD|SHORT|1,EURAUD,SHORT,target,2022-01-10T16:06:00.000Z,2022-01-10T16:30:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.202852,1.620968,-0.06,0.000167,1.561135,0,0.202852,0,1,0.016667,0.228721,2022-01-10T00:00:00.000Z|EURAUD|ny|2022-01-10|SHORT|2022-01-10T16:05:00.000Z|2022-01-10T16:06:00.000Z,30270D6160C79166095B7568F31EF1D1E794CD47577BF8AAC5119F665AAA802D
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|GBPJPY|LONG|1,GBPJPY,LONG,target,2022-01-14T14:50:00.000Z,2022-01-14T15:09:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.103711,1.002213,-0.06,-0.00121,0.941003,-0.121906,0.103711,0,1,0.013194,0.21511,2022-01-10T00:00:00.000Z|GBPJPY|ny|2022-01-14|LONG|2022-01-14T14:38:00.000Z|2022-01-14T14:39:00.000Z,26B8A0C7FD4BBC1FCF0402A85D679C71795FA55BC50A4818959DE8F2338E57C0
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|GBPJPY|LONG|2,GBPJPY,LONG,target,2022-01-14T15:27:00.000Z,2022-01-14T15:35:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.167515,1.616581,-0.06,-0.000509,1.556071,0,0.167515,1,2,0.005556,0.21511,2022-01-10T00:00:00.000Z|GBPJPY|ny|2022-01-14|LONG|2022-01-14T15:19:00.000Z|2022-01-14T15:20:00.000Z,D0717F48E9EEEF222B5BF9B39B07B319AD8D8DE04339A85EDD72BA5C8130EF06
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0,triangle_v0,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0|GBPNZD|LONG|1,GBPNZD,LONG,target,2022-01-13T13:33:00.000Z,2022-01-13T15:10:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.171029,1.239584,-0.06,-0.006177,1.173407,-0.049409,0.171029,0,1,0.067361,0.251288,2022-01-10T00:00:00.000Z|GBPNZD|ny|2022-01-13|LONG|2022-01-13T13:32:00.000Z|2022-01-13T13:33:00.000Z,2A3B4256ECCC822119ACB0B863F4D1190E3B362319A4879D55F92CE4CC39A06A
