metric,definition,content_hash
continuous_carried_position_truth_replay,keeps side grid state open across warehouse week boundaries until target reset or terminal liquidation,16EA7DFBC2337177695F0655A00E8BBCE2138BAABB76D0DD24321F721F8C0C1E
session_window_position_truth_replay,"keeps side grid state open inside the configured session window, allows target closes whenever ticks exist, and force-closes unresolved cycles at session flatten",7ED8573A0F8E987D91EA0AC00F8D896379BFD22A9210A194A5B8F27B86A8BE20
bar_path_mode,"intrabar path used for each warehouse M1 bar; open/close modes use one mark per bar, OHLC modes synthesize four tester-like marks per bar",86EBC70807148BFC5024E0A049F0210B6B8D259115096B765EE5930573E00BAC
signal_clock,"clock used to update David MA/RSI/Stoch signal state; m1 updates on every M1 close, adr_event updates only after a configured ADR movement brick completes",E9D68C9263FD7EE4BB0A5AC25810E73EAF73E2AA7B4C8B7262878D94896088E4
signal_adr_brick,ADR movement required to complete one synthetic signal bar when signal_clock is adr_event,CFB40CEFF037A5E0CFF9803FFF7E26832A102FE2475DA827370967CF4F2EFD52
session_mode,continuous keeps the original carried-position replay; ny_daily_window allows starts/adds only inside the configured New York session and force-closes remaining cycles at the daily flatten boundary,6EA22EA33730F543E93FA09A02010DA8C4F04F7D236E9AA65D0D8EF88A9EBA7C
session_flatten_count,"number of side cycles closed by the configured daily session flatten boundary, a missed no-tick boundary, or the session-mode endpoint cleanup rather than a target reset or final end-of-test liquidation",C2B74B304C9CEA425BFC5129E9DF009E3A6940615F159A00B456920663E81A69
protection_mode,"diagnostic cycle-management replay mode; baseline preserves existing behavior, Q modes add stop-add, trailing, protected-flatten, or live-state pain guards without changing entries",3EBCF818AB815B36617266E877AD7A6AA8B356530AC60BECD2B6713962FB3CB5
protection_trail,close reason emitted when a cycle reaches the configured Q-profit activation threshold and then gives back the configured Q trail distance,1F5F4D6FAF72F4E6DBCA477A8FF5377DA3E205B700F4D6812CB570C264D7F45D
protected_flatten,close reason emitted by protected flatten when a cycle is ugly red at the daily flatten boundary; small-red cycles can be held instead of force-closed,F86CA6FB94656193786680E57B8C9EBCE36F4B8E59CCB4612D01B0BA32B82935
pain_circuit,close reason emitted when a live-state guard closes a cycle after adverse 2Q pain occurs before any 0.5Q favorable excursion,990F336A42703B41D6B6A3A83D7467D45F2A6EA9BE67EF995F239A9B3344114B
pain_1q_stop_adds_before_profit_0_5q,protection mode that blocks new adds after the cycle reaches 1Q adverse excursion before any 0.5Q favorable excursion,EDB21E565399B3D713B3FB489A7E531F2E4CD384095532B1C1E8C5BF5B6DACA4
pain_2q_circuit_before_profit_0_5q,protection mode that closes the cycle after it reaches 2Q adverse excursion before any 0.5Q favorable excursion,CE7A0AC66DD83943E6D0FA52310D00C3D6C7B646301210E1AF2CB4EA92DFF685
live_state_guard_v0,"combined diagnostic guard: stop adds after profit reaches 1Q, stop adds after pain reaches 1Q before 0.5Q profit, and close after pain reaches 2Q before 0.5Q profit",992EEA7782C83ED3387FF5C5CD957E0ECFD4DA60F57863289B42A9829DACE8E3
protection_close_net_usd,"aggregate net USD from protection_trail, protected_flatten, and pain_circuit close cycles, including price PnL, commission, and swap",ADAF5572EFDC43A5EDF47303DA4EC279876819988735AF99550FB809F57AED49
session_flatten_price_pnl_usd,price PnL from cycles force-closed by the configured daily session flatten boundary,1EA3FC748FBEB0642A86221EE6DE68B5CEDE9F3CE28C361C2484072DC4883422
closed_price_pnl_usd,"target-reset price PnL before swap and commission, with quote-currency PnL converted to USD at the close timestamp/tick when a USD conversion leg is selected",4AE0AD4F8AE10BC27022933903BDEEC605FB564497E4A4F1600191177950808C
total_commission_usd,entry commission charged at MT5-observed 0.06 USD per 0.01 lot entry; exits have zero commission in the reference report,E1A2EAC2AC167CF0A73B8E98D0BE62B3CE9796B7CED79D28997FA2AB214FA949
total_swap_usd,position-day carry fee accrued per fill by side using MT5-derived EURUSD average swap rates,E517BC4E5F48E44D54EDD90E8D479DA04C75B77DA2DDAA87A13FA7BD9B4B3A04
end_liquidation_price_pnl_usd,price PnL from all positions still open at the final warehouse mark,33E97BBB72805A1BD4A6FA0A0BFA6A4DF84B2F29CCDF3EAD05142B4B8D3C0C63
terminal_inventory_rows,"one row per side cycle that survived until terminal liquidation; used to attribute unresolved inventory by pair, side, age, MA distance, fill depth, and liquidation PnL",443A7EDADAE119647FE011CD559227AC8F5D074EEC98F345579A0C346776F150
side_exit_distance_to_ma_adr,side-specific ADR distance from terminal mark back to the David MA exit line; positive means the cycle still needs that many ADR to return to MA,132BE3D00A35485837AE160CCF2BE2B26778E887377D04870504EDB886377CE1
max_open_positions,maximum simultaneous fill count across carried side grids,A94FEBA70FC36C3C649A27D1C61561B6042252954A69C1FCD3DECD2A7398A110
activation_rule_id,one-sided start rule used when a side cycle is missing; existing cycles are not flattened by later signal changes,EF696CA2EAE54048F61A32FFCA5D466651CE8D5FAC6649C2740657822517AAFC
triangle_v0,"Gate 90D scaffold rule that starts only after a completed session range sweep, rejection, displacement, point-in-time harvestable path geometry, and Candidate/David alignment gate",A598ECA54DF402F5CE10A78CB44A24A526AA99C60C500EB89AED6368A10A8809
triangle_v0_no_candidate_b,Gate 90D diagnostic rule that keeps the Triangle trigger and geometry but removes Candidate B from the direction gate and requires David-only side agreement,003EBAB25C69C3AB02AF1B1815ACDEFCA8E6ADCEEA8784E10C51109495EB3168
triangle_v1_candidate_b_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension in Candidate B side; Katarakti is not required,1CAAFBD130838413DA9DED2869EE8172F73C975CBFC3AB13DFA59B00FA50E4C9
triangle_v1_david_contra_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension in David contra side; Katarakti is not required,5325CD4936EBE3C4DB163161403DBB55C8F8942B0053AA3C5E744291C76DBB81
triangle_v1_candidate_or_david_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension when Candidate B or David contra permits the side,17C4998FBB4EB5BA22CBC0068D2053F3B7C686F56F69F93A61CD1703F1D6D6CF
cycle_spacing_adr,actual ADR spacing assigned to the side cycle at start; triangle_v0 uses completed session range divided into target slots and clamped to the configured rails,9867516C2ED59AE3BE1EB6C2D25F1883C58A710182F052A50A8A12D34DCCD673
triangle_trigger_key,"stable provenance key for the session box, side, sweep, and displacement trigger that started a triangle_v0 cycle",DD3C56BF1570C4BA4458D47CA34E27AFB605FE67DB99775419F71CA157DBCDDA
triangle_v0_formula_id,scaffold formula identifier for the Gate 90D bounded Triangle v0 replay path,4CB4DF788EEFD484A5B28B2AD7D020D37209582C7548DFCCC284F6363E7F44A6
min_ma_expansion_adr,"minimum side-specific distance from current David MA required before a missing side can start; long requires price below MA, short requires price above MA",EB16F1581DCF78A1A2CD1F8C027D11A2F967F2FDC0904A39024A33FC8D308A2A
grid_add_mode,adverse_and_favorable keeps both recovery and favorable expansion adds; adverse_only adds only when price moves against the side from its cycle anchor,93CE73D3D40073849ADF687C2C2FAE83C228B9D0792EDD9A522BBAA9EF57BB75
close_event_profit_factor,gross winning close-cycle net USD divided by absolute gross losing close-cycle net USD; computed even in summary-only mode without retaining close-event rows,9B91A55C97258C99A56537EDBFD14CFEC4B9F8F0ED6AB0640DF0B5134DA62ECE
close_event_win_pct,"winning close-cycle count divided by all close cycles; target, session_flatten, and end_of_test close reasons are included",4D525F8F4EE71C930A525508C5C9B9E0544C60E944633CAA482D3A661A1CD685
adr_normalized_return_pct,price-movement return normalized by each pair's ADR; one ADR is reported as one percent for cross-currency comparison; commission and swap remain costed in USD fields,ADA7A640A6CF7255C8A431228C8BED846151DFA9416CAF7D2E880CC376F7580C
