scenario_id,rule_id,rule_family,all_in_cost_adr_per_fill,swap_drag_adr_per_active_side_week,gross_final_equity_adr,total_fills,fill_cost_adr,swap_drag_proxy_adr,stressed_final_equity_adr,stressed_max_drawdown_adr,stressed_return_drawdown,scenario_read,content_hash
tight_execution_no_swap,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,0.005,0,13772.999764,106080,530.4,0,13339.554764,-2004.982654,6.653202,tight spread plus commission proxy,8436890311C5D3620AEB428263BB9700B14F8D1EF7ACCA295A05A6F146AE19E4
normal_execution_small_swap,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,0.01,0.0025,13772.999764,106080,1060.8,26.11,12879.999764,-2021.432654,6.371718,normal first-pass broker proxy,6B939D56F6D828474910185AB3B5ACF99C0818A52CE1FD6AED844AEE76F31A27
wide_execution_visible_swap,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,0.025,0.005,13772.999764,106080,2652,52.22,11553.554764,-2079.086738,5.557034,wide retail or volatile spread proxy,A205B02AC15971020D5083DCDA619D8D60300B0CB6D495A46FB113F2BAF72740
stress_execution_high_swap,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,0.05,0.01,13772.999764,106080,5304,104.44,9334.109764,-2205.316738,4.232548,Gate80 high cost stress plus swap drag,928BFFD6FF40DF5C866270EA9975CE8D9EE8F07F5C7BC6097D10AAA156DD3947
extreme_execution_punitive_swap,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,0.1,0.02,13772.999764,106080,10608,208.88,4895.219764,-2472.70157,1.979705,"kill-test proxy, not expected broker base case",ADD5BD92A1D201C7264544CE3229ABC92C4474B10B33F804BDEC6F4BCABCE638
tight_execution_no_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,0.005,0,53646.297719,204752,1023.76,0,52566.297719,-709.517194,74.087419,tight spread plus commission proxy,631D820FAA59D22F798365078DE9C5AA096890B689A5929EFAF987D944813BDE
normal_execution_small_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,0.01,0.0025,53646.297719,204752,2047.52,52.22,51434.077719,-713.527194,72.084257,normal first-pass broker proxy,C036E595C283BD6F9934CB4EB8BB4C9EEC03DF0092F11BBD30EF85FD36A324DB
wide_execution_visible_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,0.025,0.005,53646.297719,204752,5118.8,104.44,48141.857719,-725.277194,66.377184,wide retail or volatile spread proxy,5F9BA23CB441119604EEFE513EAA538F6109A1833C8E481EDCD6E4C7C804DD48
stress_execution_high_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,0.05,0.01,53646.297719,204752,10237.6,208.88,42637.417719,-744.907194,57.238563,Gate80 high cost stress plus swap drag,40DF274A4F2E0FD0C4BCDE47A6D3FF5488555F50BB47D71D7AA5B8BA8EA6BEC2
extreme_execution_punitive_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,0.1,0.02,53646.297719,204752,20475.2,417.76,31628.537719,-784.167194,40.333921,"kill-test proxy, not expected broker base case",D53462A6D56BAB1322FB85E30F81AA3136E78E1520B2EEE98204C63D49650D06
tight_execution_no_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,0.005,0,82549.112283,305641,1528.205,0,80845.852283,-1180.907908,68.46076,tight spread plus commission proxy,94B994D8425579DC653AC9531953C2D871C608D60B1B4A560086995B58242C47
normal_execution_small_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,0.01,0.0025,82549.112283,305641,3056.41,52.22,79090.372283,-1194.862908,66.192006,normal first-pass broker proxy,C15870D2DF1ABACC2117B1083FCC27B9480A58BF568E6BAEB213E3AABD171FAD
wide_execution_visible_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,0.025,0.005,82549.112283,305641,7641.025,104.44,73928.372283,-1236.447908,59.790932,wide retail or volatile spread proxy,9AD6E55995A5D949C7E5286F4B27B1FEDF620699F868F59AA6E2F0B65CF67857
stress_execution_high_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,0.05,0.01,82549.112283,305641,15282.05,208.88,65307.632283,-1305.802908,50.013392,Gate80 high cost stress plus swap drag,EFE1BB62A1C3A6703C129B9BAA3918C43C3A8294289B27B4AD51220A7C5F3ACA
extreme_execution_punitive_swap,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,0.1,0.02,82549.112283,305641,30564.1,417.76,48066.152283,-1444.512908,33.27499,"kill-test proxy, not expected broker base case",F19A3502015A82012C9F5E676E789DC2C50495EC608EEFF5E7F3681BDA2987C2
tight_execution_no_swap,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.005,0,27114.519974,102551,512.755,0,26577.574974,-569.044842,46.70559,tight spread plus commission proxy,6D513E861E191CC598AAF08925A7DA851295DCB97FC52C6D56D4082D28DB48A7
normal_execution_small_swap,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,0.01,0.0025,27114.519974,102551,1025.51,26.11,26014.519974,-576.199842,45.148433,normal first-pass broker proxy,CDE4BC29EDBF6A31565382D080D7DDFC35DB511428BD08E51BE0AD93F1E123C6
