metric,definition,content_hash
continuous_carried_position_truth_replay,keeps side grid state open across warehouse week boundaries until target reset or terminal liquidation,16EA7DFBC2337177695F0655A00E8BBCE2138BAABB76D0DD24321F721F8C0C1E
session_window_position_truth_replay,"keeps side grid state open inside the configured session window, allows target closes whenever ticks exist, and force-closes unresolved cycles at session flatten",7ED8573A0F8E987D91EA0AC00F8D896379BFD22A9210A194A5B8F27B86A8BE20
bar_path_mode,"intrabar path used for each warehouse M1 bar; open/close modes use one mark per bar, OHLC modes synthesize four tester-like marks per bar",86EBC70807148BFC5024E0A049F0210B6B8D259115096B765EE5930573E00BAC
signal_clock,"clock used to update David MA/RSI/Stoch signal state; m1 updates on every M1 close, adr_event updates only after a configured ADR movement brick completes",E9D68C9263FD7EE4BB0A5AC25810E73EAF73E2AA7B4C8B7262878D94896088E4
signal_adr_brick,ADR movement required to complete one synthetic signal bar when signal_clock is adr_event,CFB40CEFF037A5E0CFF9803FFF7E26832A102FE2475DA827370967CF4F2EFD52
session_mode,continuous keeps the original carried-position replay; ny_daily_window allows starts/adds only inside the configured New York session and force-closes remaining cycles at the daily flatten boundary,6EA22EA33730F543E93FA09A02010DA8C4F04F7D236E9AA65D0D8EF88A9EBA7C
session_flatten_count,"number of side cycles closed by the configured daily session flatten boundary, a missed no-tick boundary, or the session-mode endpoint cleanup rather than a target reset or final end-of-test liquidation",C2B74B304C9CEA425BFC5129E9DF009E3A6940615F159A00B456920663E81A69
protection_mode,"diagnostic cycle-management replay mode; baseline preserves existing behavior, Q modes add stop-add, trailing, protected-flatten, or live-state pain guards without changing entries",3EBCF818AB815B36617266E877AD7A6AA8B356530AC60BECD2B6713962FB3CB5
protection_trail,close reason emitted when a cycle reaches the configured Q-profit activation threshold and then gives back the configured Q trail distance,1F5F4D6FAF72F4E6DBCA477A8FF5377DA3E205B700F4D6812CB570C264D7F45D
protected_flatten,close reason emitted by protected flatten when a cycle is ugly red at the daily flatten boundary; small-red cycles can be held instead of force-closed,F86CA6FB94656193786680E57B8C9EBCE36F4B8E59CCB4612D01B0BA32B82935
pain_circuit,close reason emitted when a live-state guard closes a cycle after adverse 2Q pain occurs before any 0.5Q favorable excursion,990F336A42703B41D6B6A3A83D7467D45F2A6EA9BE67EF995F239A9B3344114B
pain_1q_stop_adds_before_profit_0_5q,protection mode that blocks new adds after the cycle reaches 1Q adverse excursion before any 0.5Q favorable excursion,EDB21E565399B3D713B3FB489A7E531F2E4CD384095532B1C1E8C5BF5B6DACA4
pain_2q_circuit_before_profit_0_5q,protection mode that closes the cycle after it reaches 2Q adverse excursion before any 0.5Q favorable excursion,CE7A0AC66DD83943E6D0FA52310D00C3D6C7B646301210E1AF2CB4EA92DFF685
live_state_guard_v0,"combined diagnostic guard: stop adds after profit reaches 1Q, stop adds after pain reaches 1Q before 0.5Q profit, and close after pain reaches 2Q before 0.5Q profit",992EEA7782C83ED3387FF5C5CD957E0ECFD4DA60F57863289B42A9829DACE8E3
eod_green_hold_red,protection mode that closes green cycles at the daily flatten boundary and holds red cycles open for later target/flatten handling,A367199629B8975CEFB8AF5E9D33AB8193BCD9F356EFAAC67451866D4EF51EEF
eod_green_hold_red_pain_1q_stop_adds,hold-red mode plus locked stop-add after 1Q adverse excursion happens before any 0.5Q favorable excursion,02FD5A69088BEDF9212A90E9E2A1D7DF7AECBD80A4F23CF2D55B480FE3452F2F
eod_green_hold_red_pain_1q_stop_adds_reset_0_5q,hold-red mode plus stop-add while 1Q adverse excursion has occurred before any 0.5Q favorable excursion; stop-add unlocks after the same cycle reaches 0.5Q favorable excursion,5F7FABE8F833FC50409CE85097674A4FD8226719A885CE50FE8CB333700FDAB4
eod_green_hold_red_max_3d,hold-red mode capped at three calendar days of max fill age; red cycles older than the cap close at the next flatten boundary,47577D4CC9F5CD614B2E8A7BA3D3D60B88C57FA090A0D5E3B0BDBC9A475FE96F
eod_green_hold_red_pain_1q_stop_adds_max_3d,three-day capped hold-red mode plus locked stop-add after 1Q adverse excursion happens before any 0.5Q favorable excursion,BAD6A87D915553A3799EEC0F592B1CF6214F5E9AA29DB64266253015641227FB
eod_green_hold_red_pain_1q_stop_adds_reset_0_5q_max_3d,three-day capped hold-red mode plus pain stop-add that unlocks after the same cycle reaches 0.5Q favorable excursion,A5E82898BF1CD3ABCE312C3092BC9194A1193410BDB262736933A0D97AD70834
protection_close_net_usd,"aggregate net USD from protection_trail, protected_flatten, and pain_circuit close cycles, including price PnL, commission, and swap",ADAF5572EFDC43A5EDF47303DA4EC279876819988735AF99550FB809F57AED49
session_flatten_price_pnl_usd,price PnL from cycles force-closed by the configured daily session flatten boundary,1EA3FC748FBEB0642A86221EE6DE68B5CEDE9F3CE28C361C2484072DC4883422
closed_price_pnl_usd,"target-reset price PnL before swap and commission, with quote-currency PnL converted to USD at the close timestamp/tick when a USD conversion leg is selected",4AE0AD4F8AE10BC27022933903BDEEC605FB564497E4A4F1600191177950808C
total_commission_usd,entry commission charged at MT5-observed 0.06 USD per 0.01 lot entry; exits have zero commission in the reference report,E1A2EAC2AC167CF0A73B8E98D0BE62B3CE9796B7CED79D28997FA2AB214FA949
total_swap_usd,position-day carry fee accrued per fill by side using MT5-derived EURUSD average swap rates,E517BC4E5F48E44D54EDD90E8D479DA04C75B77DA2DDAA87A13FA7BD9B4B3A04
end_liquidation_price_pnl_usd,price PnL from all positions still open at the final warehouse mark,33E97BBB72805A1BD4A6FA0A0BFA6A4DF84B2F29CCDF3EAD05142B4B8D3C0C63
terminal_inventory_rows,"one row per side cycle that survived until terminal liquidation; used to attribute unresolved inventory by pair, side, age, MA distance, fill depth, and liquidation PnL",443A7EDADAE119647FE011CD559227AC8F5D074EEC98F345579A0C346776F150
side_exit_distance_to_ma_adr,side-specific ADR distance from terminal mark back to the David MA exit line; positive means the cycle still needs that many ADR to return to MA,132BE3D00A35485837AE160CCF2BE2B26778E887377D04870504EDB886377CE1
max_open_positions,maximum simultaneous fill count across carried side grids,A94FEBA70FC36C3C649A27D1C61561B6042252954A69C1FCD3DECD2A7398A110
activation_rule_id,one-sided start rule used when a side cycle is missing; existing cycles are not flattened by later signal changes,EF696CA2EAE54048F61A32FFCA5D466651CE8D5FAC6649C2740657822517AAFC
triangle_v0,"Gate 90D scaffold rule that starts only after a completed session range sweep, rejection, displacement, point-in-time harvestable path geometry, and Candidate/David alignment gate",A598ECA54DF402F5CE10A78CB44A24A526AA99C60C500EB89AED6368A10A8809
triangle_v0_no_candidate_b,Gate 90D diagnostic rule that keeps the Triangle trigger and geometry but removes Candidate B from the direction gate and requires David-only side agreement,003EBAB25C69C3AB02AF1B1815ACDEFCA8E6ADCEEA8784E10C51109495EB3168
triangle_v1_candidate_b_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension in Candidate B side; Katarakti is not required,1CAAFBD130838413DA9DED2869EE8172F73C975CBFC3AB13DFA59B00FA50E4C9
triangle_v1_david_contra_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension in David contra side; Katarakti is not required,5325CD4936EBE3C4DB163161403DBB55C8F8942B0053AA3C5E744291C76DBB81
triangle_v1_candidate_or_david_extension,Gate 90D v1 scaffold rule that starts on valid harvestable session geometry plus session-mid extension when Candidate B or David contra permits the side,17C4998FBB4EB5BA22CBC0068D2053F3B7C686F56F69F93A61CD1703F1D6D6CF
triangle_formulaic_directionless_geometry,"Gate 91 scaffold rule that ignores direction evidence, computes Q from completed session range plus current path efficiency plus cost floor, starts symmetric long/short extensions away from session midpoint, and targets session-mid reversion",4FAEBAEDFD847DA5EFC1BB0BD760DDA10E94FB33D727DDADD752DAF1A1898B54
